DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD	DATE_TIME
2023.09.11	18:25:00	1.07458	1.07469	1.07456	1.07464	72	0	16	2023.09.11 18:25:00
2023.09.11	18:26:00	1.07464	1.07467	1.07456	1.07464	63	0	16	2023.09.11 18:26:00
2023.09.11	18:27:00	1.07464	1.07474	1.07461	1.07472	49	0	16	2023.09.11 18:27:00
2023.09.11	18:28:00	1.07471	1.07471	1.07454	1.07454	50	0	16	2023.09.11 18:28:00
2023.09.11	18:29:00	1.07454	1.07454	1.07419	1.07419	124	0	16	2023.09.11 18:29:00
2023.09.11	18:30:00	1.07419	1.07424	1.07403	1.07418	97	0	16	2023.09.11 18:30:00
2023.09.11	18:31:00	1.07415	1.07421	1.07411	1.07419	64	0	16	2023.09.11 18:31:00
2023.09.11	18:32:00	1.07419	1.07427	1.07416	1.07417	81	0	16	2023.09.11 18:32:00
2023.09.11	18:33:00	1.07418	1.07424	1.07409	1.07419	89	0	16	2023.09.11 18:33:00
2023.09.11	18:34:00	1.07419	1.07425	1.07411	1.07419	63	0	16	2023.09.11 18:34:00
2023.09.11	18:35:00	1.0742	1.0744	1.0742	1.0744	76	0	16	2023.09.11 18:35:00
2023.09.11	18:36:00	1.07439	1.0745	1.07439	1.07445	72	0	16	2023.09.11 18:36:00
2023.09.11	18:37:00	1.07445	1.07455	1.07445	1.07452	31	0	16	2023.09.11 18:37:00
2023.09.11	18:38:00	1.07452	1.07456	1.07449	1.0745	51	0	16	2023.09.11 18:38:00
2023.09.11	18:39:00	1.0745	1.07456	1.0745	1.07455	31	0	16	2023.09.11 18:39:00
2023.09.11	18:40:00	1.07455	1.0746	1.07454	1.07455	42	0	16	2023.09.11 18:40:00
2023.09.11	18:41:00	1.07454	1.07458	1.0744	1.0744	59	0	16	2023.09.11 18:41:00
2023.09.11	18:42:00	1.0744	1.07443	1.0743	1.0743	61	0	16	2023.09.11 18:42:00
2023.09.11	18:43:00	1.07429	1.07434	1.07425	1.07426	60	0	16	2023.09.11 18:43:00
2023.09.11	18:44:00	1.07426	1.07431	1.07425	1.07426	26	0	16	2023.09.11 18:44:00
